scenario_id,baseline_probability,absolute_effect,null_task_icc,planning_direction,unrounded_task_units,required_task_units,condition_cells,maximum_request_projection,mean_rate_projection_usd,observed_maximum_rate_projection_usd
representational-power-825182688c,0.8,0.1,0.25,decrease,121.604112,124,496,5952,121.87464,146.21832
representational-power-67ad7ef93a,0.8,0.1,0.5,decrease,84.666974,88,352,4224,86.49168,103.76784
representational-power-57b4e8404e,0.8,0.1,0.75,decrease,47.295566,48,192,2304,47.17728,56.60064
representational-power-0b80fa2580,0.8,0.15,0.0,decrease,71.34819,72,288,3456,70.76592,84.90096
representational-power-1e5cd14ddc,0.8,0.15,0.25,decrease,55.268488,56,224,2688,55.04016,66.03408
representational-power-f8a03fbb90,0.8,0.15,0.5,decrease,39.070633,40,160,1920,39.3144,47.1672
representational-power-87ef793787,0.8,0.15,0.75,increase,23.311162,24,96,1152,23.58864,28.30032
representational-power-11916cfbec,0.8,0.2,0.0,decrease,40.509759,44,176,2112,43.24584,51.88392
representational-power-3e830ef242,0.8,0.2,0.25,decrease,31.625295,32,128,1536,31.45152,37.73376
representational-power-dc6a649e2d,0.8,0.2,0.5,decrease,22.64187,24,96,1152,23.58864,28.30032
representational-power-67567c2b28,0.8,0.2,0.75,increase,14.561336,16,64,768,15.72576,18.86688
